1,New York[6], New York,8,537,673,8,175,133,+4.43%,301.5 sq mi,780.9 km2,28,317/sq mi,10,933/km2,40.6635°N 73.9387°W,
2,Los Angeles, California,3,976,322,3,792,621,+4.84%,468.7 sq mi,1,213.9 km2,8,484/sq mi,3,276/km2,34.0194°N 118.4108°W
3,Chicago, Illinois,2,704,958,2,695,598,+0.35%,227.3 sq mi,588.7 km2,11,900/sq mi,4,600/km2,41.8376°N 87.6818°W,
4,Houston[7], Texas,2,303,482,2,100,263,+9.68%,637.5 sq mi,1,651.1 km2,3,613/sq mi,1,395/km2,29.7866°N 95.3909°W
5,Phoenix, Arizona,1,615,17,1,445,632,+11.72%,517.6 sq mi,1,340.6 km2,3,120/sq mi,1,200/km2,33.5722°N 112.0901°W
6,Philadelphia[8], Pennsylvania,1,567,872,1,526,6,+2.74%,134.2 sq mi,347.6 km2,11,683/sq mi,4,511/km2,40.0094°N 75.1333°W,
7,San Antonio, Texas,1,492,510,1,327,407,+12.44%,461.0 sq mi,1,194.0 km2,3,238/sq mi,1,250/km2,29.4724°N 98.5251°W
8,San Diego, California,1,406,630,1,307,402,+7.59%,325.2 sq mi,842.3 km2,4,325/sq mi,1,670/km2,32.8153°N 117.1350°W,
9,Dallas, Texas,1,317,929,1,197,816,+10.03%,340.9 sq mi,882.9 km2,3,866/sq mi,1,493/km2,32.7933°N 96.7665°W,
10,San Jose, California,1,25,350,945,942,+8.39%,177.5 sq mi,459.7 km2,5,777/sq mi,2,231/km2,37.2967°N 121.8189°W,,
11,Austin, Texas,947,890,790,390,+19.93%,312.7 sq mi,809.9 km2,3,031/sq mi,1,170/km2,30.3039°N 97.7544°W,,,
12,Jacksonville[9], Florida,880,619,821,784,+7.16%,747.4 sq mi,1,935.8 km2,1,178/sq mi,455/km2,30.3369°N 81.6616°W,,,
13,San Francisco[10], California,870,887,805,235,+8.15%,46.9 sq mi,121.5 km2,18,569/sq mi,7,170/km2,37.7272°N 123.0322°W,,,
14,Columbus, Ohio,860,90,787,33,+9.28%,218.5 sq mi,565.9 km2,3,936/sq mi,1,520/km2,39.9852°N 82.9848°W,,,
15,Indianapolis[11], Indiana,855,164,820,445,+4.23%,361.5 sq mi,936.3 km2,2,366/sq mi,914/km2,39.7767°N 86.1459°W,,,,
16,Fort Worth, Texas,854,113,741,206,+15.23%,342.9 sq mi,888.1 km2,2,491/sq mi,962/km2,32.7815°N 97.3467°W,,,,
17,Charlotte, North Carolina,842,51,731,424,+15.12%,305.4 sq mi,791.0 km2,2,757/sq mi,1,064/km2,35.2078°N 80.8310°W,,,
18,Seattle, Washington,704,352,608,660,+15.72%,83.8 sq mi,217.0 km2,8,405/sq mi,3,245/km2,47.6205°N 122.3509°W,,,
19,Denver[12], Colorado,693,60,600,158,+15.48%,153.3 sq mi,397.0 km2,4,521/sq mi,1,746/km2,39.7619°N 104.8811°W,,,
20,El Paso, Texas,683,80,649,121,+5.23%,256.8 sq mi,665.1 km2,2,660/sq mi,1,030/km2,31.8484°N 106.4270°W,,,
21,Washington[13], District of Columbia,681,170,601,723,+13.20%,61.1 sq mi,158.2 km2,11,148/sq mi,4,304/km2,38.9041°N 77.0172°W,,,
22,Boston, Massachusetts,673,184,617,594,+9.00%,48.3 sq mi,125.1 km2,13,938/sq mi,5,381/km2,42.3320°N 71.0202°W,,,
23,Detroit, Michigan,672,795,713,777,−5.74%,138.8 sq mi,359.5 km2,4,847/sq mi,1,871/km2,42.3830°N 83.1022°W,,,
24,Nashville[14], Tennessee,660,388,601,222,+9.84%,475.9 sq mi,1,232.6 km2,1,388/sq mi,536/km2,36.1718°N 86.7850°W,,,
25,Memphis, Tennessee,652,717,646,889,+0.90%,317.4 sq mi,822.1 km2,2,056/sq mi,794/km2,35.1028°N 89.9774°W,,,,
26,Portland, Oregon,639,863,583,776,+9.61%,133.5 sq mi,345.8 km2,4,793/sq mi,1,851/km2,45.5370°N 122.6500°W,,,
27,Oklahoma City, Oklahoma,638,367,579,999,+10.06%,606.3 sq mi,1,570.3 km2,1,053/sq mi,407/km2,35.4671°N 97.5137°W,,,
28,Las Vegas, Nevada,632,912,583,756,+8.42%,134.4 sq mi,348.1 km2,4,709/sq mi,1,818/km2,36.2292°N 115.2601°W,,,
29,Louisville[15], Kentucky,616,261,597,337,+3.17%,263.5 sq mi,682.5 km2,2,339/sq mi,903/km2,38.1654°N 85.6474°W,,,,
30,Baltimore[16], Maryland,614,664,620,961,−1.01%,80.9 sq mi,209.5 km2,7,598/sq mi,2,934/km2,39.3000°N 76.6105°W,,,
31,Milwaukee, Wisconsin,595,47,594,833,+0.04%,96.2 sq mi,249.2 km2,6,186/sq mi,2,388/km2,43.0633°N 87.9667°W,,,
32,Albuquerque, New Mexico,559,277,545,852,+2.46%,188.2 sq mi,487.4 km2,2,972/sq mi,1,147/km2,35.1056°N 106.6474°W,,,
33,Tucson, Arizona,530,706,520,116,+2.04%,230.8 sq mi,597.8 km2,2,299/sq mi,888/km2,32.1531°N 110.8706°W,,,,
34,Fresno, California,522,53,494,665,+5.54%,114.4 sq mi,296.3 km2,4,563/sq mi,1,762/km2,36.7836°N 119.7934°W,,,
35,Sacramento, California,495,234,466,488,+6.16%,97.9 sq mi,253.6 km2,5,059/sq mi,1,953/km2,38.5666°N 121.4686°W,,,
36,Mesa, Arizona,484,587,439,41,+10.37%,137.9 sq mi,357.2 km2,3,514/sq mi,1,357/km2,33.4019°N 111.7174°W,,,
37,Kansas City, Missouri,481,420,459,787,+4.71%,315.0 sq mi,815.8 km2,1,528/sq mi,590/km2,39.1251°N 94.5510°W,,,,
38,Atlanta, Georgia,472,522,420,3,+12.50%,133.5 sq mi,345.8 km2,3,539/sq mi,1,366/km2,33.7629°N 84.4227°W,,,
39,Long Beach, California,470,130,462,257,+1.70%,50.3 sq mi,130.3 km2,9,347/sq mi,3,609/km2,33.8092°N 118.1553°W,,,
40,Colorado Springs, Colorado,465,101,416,427,+11.69%,195.6 sq mi,506.6 km2,2,378/sq mi,918/km2,38.8673°N 104.7607°W,,,,
41,Raleigh, North Carolina,458,880,403,892,+13.61%,145.1 sq mi,375.8 km2,3,163/sq mi,1,221/km2,35.8306°N 78.6418°W,,,
42,Miami, Florida,453,579,399,457,+13.55%,36.0 sq mi,93.2 km2,12,599/sq mi,4,865/km2,25.7752°N 80.2086°W,,,
43,Virginia Beach[16], Virginia,452,602,437,994,+3.34%,244.7 sq mi,633.8 km2,1,850/sq mi,710/km2,36.7800°N 76.0252°W,,,,
44,Omaha, Nebraska,446,970,408,958,+9.29%,133.2 sq mi,345.0 km2,3,356/sq mi,1,296/km2,41.2644°N 96.0451°W,,,
45,Oakland, California,420,5,390,724,+7.49%,55.9 sq mi,144.8 km2,7,514/sq mi,2,901/km2,37.7698°N 122.2257°W,,,
46,Minneapolis, Minnesota,413,651,382,578,+8.12%,54.0 sq mi,139.9 km2,7,660/sq mi,2,960/km2,44.9633°N 93.2683°W,,,
47,Tulsa, Oklahoma,403,90,391,906,+2.85%,196.8 sq mi,509.7 km2,2,048/sq mi,791/km2,36.1279°N 95.9023°W,,,,
48,Arlington, Texas,392,772,365,438,+7.48%,95.8 sq mi,248.1 km2,4,100/sq mi,1,600/km2,32.7007°N 97.1247°W,,,
49,New Orleans[17], Louisiana,391,495,343,829,+13.86%,169.4 sq mi,438.7 km2,2,311/sq mi,892/km2,30.0534°N 89.9345°W,,,,
50,Wichita, Kansas,389,902,382,368,+1.97%,160.4 sq mi,415.4 km2,2,431/sq mi,939/km2,37.6907°N 97.3459°W,,,,
51,Cleveland, Ohio,385,809,396,815,−2.77%,77.7 sq mi,201.2 km2,4,965/sq mi,1,917/km2,41.4785°N 81.6794°W,,,
52,Tampa, Florida,377,165,335,709,+12.35%,113.4 sq mi,293.7 km2,3,326/sq mi,1,284/km2,27.9701°N 82.4797°W,,,
53,Bakersfield, California,376,380,347,483,+8.32%,148.8 sq mi,385.4 km2,2,529/sq mi,976/km2,35.3212°N 119.0183°W,,,,
54,Aurora, Colorado,361,710,325,78,+11.27%,153.5 sq mi,397.6 km2,2,356/sq mi,910/km2,39.6880°N 104.6897°W,,,,
55,Honolulu[2], Hawaii,351,792,337,256,+4.31%,60.5 sq mi,156.7 km2,5,815/sq mi,2,245/km2,21.3243°N 157.8476°W,,,
56,Anaheim, California,351,43,336,265,+4.39%,50.0 sq mi,129.5 km2,7,021/sq mi,2,711/km2,33.8555°N 117.7601°W,,,
57,Santa Ana, California,334,217,324,528,+2.99%,27.1 sq mi,70.2 km2,12,333/sq mi,4,762/km2,33.7363°N 117.8830°W,,,
58,Corpus Christi, Texas,325,733,305,215,+6.72%,174.6 sq mi,452.2 km2,1,866/sq mi,720/km2,27.7543°N 97.1734°W,,,,
59,Riverside, California,324,722,303,871,+6.86%,81.2 sq mi,210.3 km2,3,999/sq mi,1,544/km2,33.9381°N 117.3932°W,,,
60,Lexington[18], Kentucky,318,449,295,803,+7.66%,283.6 sq mi,734.5 km2,1,123/sq mi,434/km2,38.0407°N 84.4583°W,,,,
61,St. Louis[16], Missouri,311,404,319,294,−2.47%,62.0 sq mi,160.6 km2,5,023/sq mi,1,939/km2,38.6357°N 90.2446°W,,,
62,Stockton, California,307,72,291,707,+5.27%,61.7 sq mi,159.8 km2,4,977/sq mi,1,922/km2,37.9763°N 121.3133°W,,,
63,Pittsburgh, Pennsylvania,303,625,305,704,−0.68%,55.4 sq mi,143.5 km2,5,481/sq mi,2,116/km2,40.4398°N 79.9766°W,,,
64,Saint Paul, Minnesota,302,398,285,68,+6.08%,52.0 sq mi,134.7 km2,5,815/sq mi,2,245/km2,44.9489°N 93.1041°W,,,
65,Cincinnati, Ohio,298,800,296,943,+0.63%,77.4 sq mi,200.5 km2,3,860/sq mi,1,490/km2,39.1402°N 84.5058°W,,,
66,Anchorage[19], Alaska,298,192,291,826,+2.18%,1,706.6 sq mi,4,420.1 km2,175/sq mi,68/km2,61.1743°N 149.2843°W,,,
67,Henderson, Nevada,292,969,257,729,+13.67%,104.7 sq mi,271.2 km2,2,798/sq mi,1,080/km2,36.0097°N 115.0357°W,,,
68,Greensboro, North Carolina,287,27,269,666,+6.44%,128.3 sq mi,332.3 km2,2,237/sq mi,864/km2,36.0951°N 79.8270°W,,,,
69,Plano, Texas,286,57,259,841,+10.09%,71.7 sq mi,185.7 km2,3,990/sq mi,1,540/km2,33.0508°N 96.7479°W,,,
70,Newark, New Jersey,281,764,277,140,+1.67%,24.1 sq mi,62.4 km2,11,691/sq mi,4,514/km2,40.7242°N 74.1726°W,,,
71,Lincoln, Nebraska,280,364,258,379,+8.51%,92.1 sq mi,238.5 km2,3,044/sq mi,1,175/km2,40.8105°N 96.6803°W,,,
72,Toledo, Ohio,278,508,287,208,−3.03%,80.7 sq mi,209.0 km2,3,451/sq mi,1,332/km2,41.6641°N 83.5819°W,,,
73,Orlando, Florida,277,173,238,300,+16.31%,105.2 sq mi,272.5 km2,2,635/sq mi,1,017/km2,28.4166°N 81.2736°W,,,
74,Chula Vista, California,267,172,243,916,+9.53%,49.6 sq mi,128.5 km2,5,387/sq mi,2,080/km2,32.6277°N 117.0152°W,,,
75,Irvine, California,266,122,212,375,+25.31%,65.6 sq mi,169.9 km2,4,057/sq mi,1,566/km2,33.6784°N 117.7713°W,,,
76,Fort Wayne, Indiana,264,488,253,691,+4.26%,110.6 sq mi,286.5 km2,2,391/sq mi,923/km2,41.0882°N 85.1439°W,,,,
77,Jersey City, New Jersey,264,152,247,597,+6.69%,14.8 sq mi,38.3 km2,17,848/sq mi,6,891/km2,40.7114°N 74.0648°W,,,
78,Durham, North Carolina,263,16,228,330,+15.19%,109.8 sq mi,284.4 km2,2,395/sq mi,925/km2,35.9811°N 78.9029°W,,,,
79,St. Petersburg, Florida,260,999,244,769,+6.63%,61.8 sq mi,160.1 km2,4,223/sq mi,1,631/km2,27.7620°N 82.6441°W,,,
80,Laredo, Texas,257,156,236,91,+8.92%,101.1 sq mi,261.8 km2,2,544/sq mi,982/km2,27.5604°N 99.4892°W,,,,
81,Buffalo, New York,256,902,261,310,−1.69%,40.4 sq mi,104.6 km2,6,359/sq mi,2,455/km2,42.8925°N 78.8597°W,,,
82,Madison, Wisconsin,252,551,233,209,+8.29%,77.0 sq mi,199.4 km2,3,280/sq mi,1,270/km2,43.0878°N 89.4299°W,,,
83,Lubbock, Texas,252,506,229,573,+9.99%,124.6 sq mi,322.7 km2,2,027/sq mi,783/km2,33.5656°N 101.8867°W,,,,
84,Chandler, Arizona,247,477,236,123,+4.81%,64.9 sq mi,168.1 km2,3,813/sq mi,1,472/km2,33.2829°N 111.8549°W,,,
85,Scottsdale, Arizona,246,645,217,385,+13.46%,183.9 sq mi,476.3 km2,1,341/sq mi,518/km2,33.6843°N 111.8611°W,,,,
86,Glendale, Arizona,245,895,226,721,+8.46%,59.1 sq mi,153.1 km2,4,161/sq mi,1,607/km2,33.5331°N 112.1899°W,,,
87,Reno, Nevada,245,255,225,221,+8.90%,107.3 sq mi,277.9 km2,2,286/sq mi,883/km2,39.5491°N 119.8499°W,,,,
88,Norfolk[16], Virginia,245,115,242,803,+0.95%,53.3 sq mi,138.0 km2,4,599/sq mi,1,776/km2,36.9230°N 76.2446°W,,,
89,Winston–Salem, North Carolina,242,203,229,617,+5.48%,132.5 sq mi,343.2 km2,1,828/sq mi,706/km2,36.1027°N 80.2610°W,,,,
90,North Las Vegas, Nevada,238,702,216,961,+10.02%,98.0 sq mi,253.8 km2,2,436/sq mi,941/km2,36.2857°N 115.0939°W,,,,
91,Irving, Texas,238,289,216,290,+10.17%,67.0 sq mi,173.5 km2,3,557/sq mi,1,373/km2,32.8577°N 96.9700°W,,,
92,Chesapeake[16], Virginia,237,940,222,209,+7.08%,338.5 sq mi,876.7 km2,703/sq mi,271/km2,36.6794°N 76.3018°W,,,,,
93,Gilbert[20], Arizona,237,133,208,453,+13.76%,68.0 sq mi,176.1 km2,3,487/sq mi,1,346/km2,33.3103°N 111.7431°W,,,
94,Hialeah, Florida,236,387,224,669,+5.22%,21.5 sq mi,55.7 km2,10,995/sq mi,4,245/km2,25.8699°N 80.3029°W,,,
95,Garland, Texas,234,943,226,876,+3.56%,57.0 sq mi,147.6 km2,4,122/sq mi,1,592/km2,32.9098°N 96.6303°W,,,
96,Fremont, California,233,136,214,89,+8.90%,77.5 sq mi,200.7 km2,3,008/sq mi,1,161/km2,37.4945°N 121.9412°W,,,
97,Baton Rouge[21], Louisiana,227,715,229,493,−0.77%,85.9 sq mi,222.5 km2,2,651/sq mi,1,024/km2,30.4422°N 91.1309°W,,,
98,Richmond[16], Virginia,223,170,204,214,+9.28%,59.8 sq mi,154.9 km2,3,732/sq mi,1,441/km2,37.5314°N 77.4760°W,,,
99,Boise[22], Idaho,223,154,205,671,+8.50%,82.1 sq mi,212.6 km2,2,718/sq mi,1,049/km2,43.6002°N 116.2317°W,,,
100,San Bernardino,Texas,,,,,,,,,,,,,,,
